优化方法基础,大学物理II.1,大学物理实验I.1,大学物理实验I.2,大学英语iii2,操作系统设计专题实验,数据结构与程序设计专题实验,数据结构与算法i,模拟电子技术,汇编语言,电子技术实验1,电子技术实验2,算法分析与设计,计算机科学技术导论,计算机系统综合设计实验,计算机组成与结构专题实验,计算机网络专题实验,软件定义网络,面向对象程序设计
0,"(81.6,100]","(84.4,98]","(84.4,98]",0,0,"(84,100]","(81,100]","(80.8,100]",0,"(84.4,98]","(84.4,98]","(78.6,97]","(82,99]",0,0,0,0,"(83,99]"
0,"(81.6,100]","(84.4,98]","(84.4,98]",0,0,"(84,100]","(81,100]","(80.8,100]",0,"(84.4,98]","(70.8,84.4]","(60.2,78.6]",0,0,0,0,0,"(83,99]"
0,"(81.6,100]","(84.4,98]","(84.4,98]","(76.8,91]","(86,100]",0,"(81,100]",0,"(79.6,99]","(84.4,98]","(84.4,98]","(78.6,97]","(82,99]","(82,100]","(81.4,100]","(84.4,98]","(79.4,99]","(83,99]"
0,"(81.6,100]","(84.4,98]","(84.4,98]",0,"(86,100]","(68,84]","(81,100]","(80.8,100]",0,"(84.4,98]","(70.8,84.4]","(78.6,97]","(82,99]",0,"(81.4,100]","(84.4,98]",0,"(83,99]"
0,"(81.6,100]","(70.8,84.4]","(84.4,98]",0,0,"(84,100]","(81,100]","(61.6,80.8]",0,"(84.4,98]","(70.8,84.4]","(78.6,97]",0,0,0,0,0,0
0,"(81.6,100]","(84.4,98]","(70.8,84.4]","(76.8,91]","(86,100]","(84,100]","(62,81]",0,"(79.6,99]","(84.4,98]","(84.4,98]","(78.6,97]",0,"(82,100]","(81.4,100]","(70.8,84.4]","(79.4,99]","(67,83]"
0,"(81.6,100]","(70.8,84.4]","(84.4,98]",0,"(86,100]","(84,100]","(81,100]","(80.8,100]","(79.6,99]","(84.4,98]","(70.8,84.4]","(78.6,97]","(82,99]","(64,82]","(81.4,100]","(84.4,98]","(79.4,99]","(83,99]"
"(63,81]","(63.2,81.6]","(70.8,84.4]","(84.4,98]","(76.8,91]","(86,100]",0,"(62,81]",0,"(60.2,79.6]","(70.8,84.4]","(84.4,98]","(78.6,97]","(82,99]","(64,82]","(81.4,100]","(84.4,98]","(59.8,79.4]","(83,99]"
0,"(63.2,81.6]","(84.4,98]","(84.4,98]",0,"(86,100]","(84,100]","(62,81]","(61.6,80.8]",0,"(84.4,98]","(84.4,98]","(60.2,78.6]","(82,99]",0,"(62.8,81.4]","(70.8,84.4]",0,"(67,83]"
0,"(81.6,100]","(70.8,84.4]","(84.4,98]","(76.8,91]","(86,100]","(84,100]","(81,100]",0,"(79.6,99]","(84.4,98]","(84.4,98]",0,0,"(82,100]","(81.4,100]","(84.4,98]","(79.4,99]","(83,99]"
"(81,99]","(81.6,100]","(84.4,98]","(70.8,84.4]","(62.6,76.8]","(86,100]","(84,100]","(81,100]",0,"(79.6,99]","(70.8,84.4]","(70.8,84.4]","(60.2,78.6]","(82,99]","(82,100]","(62.8,81.4]","(70.8,84.4]","(79.4,99]","(67,83]"
"(81,99]","(81.6,100]","(70.8,84.4]","(70.8,84.4]","(62.6,76.8]","(72,86]",0,"(81,100]",0,"(79.6,99]","(70.8,84.4]","(84.4,98]","(78.6,97]","(82,99]","(64,82]","(62.8,81.4]","(84.4,98]","(59.8,79.4]",0
0,"(81.6,100]","(84.4,98]","(84.4,98]",0,0,"(84,100]","(81,100]","(80.8,100]",0,"(84.4,98]","(84.4,98]","(78.6,97]",0,0,0,0,0,"(83,99]"
0,"(81.6,100]","(84.4,98]","(84.4,98]",0,0,"(84,100]","(81,100]","(80.8,100]",0,"(84.4,98]","(84.4,98]","(78.6,97]",0,0,0,0,0,"(83,99]"
0,"(81.6,100]","(84.4,98]",0,0,0,0,0,0,0,0,0,0,"(82,99]",0,0,0,0,0
"(81,99]","(81.6,100]","(70.8,84.4]","(84.4,98]","(76.8,91]","(86,100]","(68,84]","(62,81]",0,"(79.6,99]","(84.4,98]","(70.8,84.4]","(78.6,97]","(82,99]","(82,100]","(62.8,81.4]","(70.8,84.4]","(79.4,99]","(67,83]"
"(81,99]","(81.6,100]","(84.4,98]","(84.4,98]",0,"(86,100]","(84,100]","(81,100]","(80.8,100]",0,"(84.4,98]","(70.8,84.4]","(78.6,97]","(82,99]",0,"(81.4,100]","(84.4,98]",0,"(83,99]"
0,"(81.6,100]","(84.4,98]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"(81.6,100]","(84.4,98]","(84.4,98]",0,0,"(84,100]","(81,100]","(80.8,100]",0,"(84.4,98]","(84.4,98]","(78.6,97]",0,0,0,0,0,"(83,99]"
0,"(81.6,100]","(84.4,98]","(84.4,98]",0,0,"(68,84]","(81,100]","(80.8,100]","(79.6,99]","(84.4,98]","(70.8,84.4]","(78.6,97]",0,0,0,0,0,"(67,83]"
0,"(81.6,100]","(84.4,98]",0,0,0,0,0,0,0,0,0,0,"(82,99]",0,0,0,0,0
0,"(81.6,100]","(84.4,98]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"(81.6,100]","(84.4,98]","(84.4,98]",0,"(86,100]","(84,100]","(81,100]","(80.8,100]",0,"(84.4,98]","(70.8,84.4]","(78.6,97]","(82,99]","(64,82]","(81.4,100]","(84.4,98]","(79.4,99]","(83,99]"
0,"(81.6,100]","(84.4,98]","(84.4,98]",0,0,"(84,100]","(81,100]","(80.8,100]",0,"(84.4,98]","(70.8,84.4]","(78.6,97]","(82,99]",0,0,0,0,"(83,99]"
"(81,99]","(81.6,100]","(70.8,84.4]","(57.2,70.8]","(62.6,76.8]","(86,100]",0,0,0,"(79.6,99]","(57.2,70.8]","(70.8,84.4]","(78.6,97]","(65,82]","(46,64]","(62.8,81.4]","(84.4,98]","(79.4,99]","(83,99]"
"(81,99]","(81.6,100]","(70.8,84.4]","(84.4,98]","(76.8,91]","(86,100]","(84,100]","(81,100]",0,"(79.6,99]","(84.4,98]","(84.4,98]",0,"(82,99]","(82,100]","(81.4,100]","(70.8,84.4]",0,"(83,99]"
0,"(81.6,100]","(70.8,84.4]","(84.4,98]",0,"(86,100]","(68,84]","(62,81]","(80.8,100]",0,"(84.4,98]","(84.4,98]","(78.6,97]","(82,99]",0,"(62.8,81.4]","(84.4,98]",0,"(83,99]"
0,"(44.8,63.2]","(84.4,98]","(84.4,98]","(76.8,91]","(86,100]",0,0,0,"(60.2,79.6]","(70.8,84.4]","(70.8,84.4]","(78.6,97]","(48,65]","(64,82]","(81.4,100]","(84.4,98]","(79.4,99]","(67,83]"
0,"(81.6,100]","(84.4,98]",0,0,0,0,0,0,0,0,0,0,"(82,99]",0,0,0,0,0
"(63,81]","(63.2,81.6]","(70.8,84.4]","(70.8,84.4]","(62.6,76.8]","(72,86]",0,"(43,62]",0,"(60.2,79.6]","(70.8,84.4]","(70.8,84.4]","(78.6,97]","(82,99]","(82,100]","(62.8,81.4]","(70.8,84.4]","(59.8,79.4]","(67,83]"
0,"(63.2,81.6]",0,"(70.8,84.4]",0,"[30,44]",0,0,0,"(21.4,40.8]","(57.2,70.8]",0,"(41.8,60.2]","(65,82]","(28,46]","(25.6,44.2]","(57.2,70.8]","[1,20.6]","(51,67]"
"(63,81]","(63.2,81.6]","(84.4,98]","(84.4,98]","(76.8,91]","(86,100]","(84,100]","(62,81]",0,"(60.2,79.6]","(84.4,98]","(84.4,98]",0,"(82,99]","(82,100]","(81.4,100]","(70.8,84.4]","(79.4,99]","(67,83]"
0,"(44.8,63.2]","(70.8,84.4]","(70.8,84.4]","(62.6,76.8]","(72,86]",0,0,0,"(60.2,79.6]","(70.8,84.4]","(70.8,84.4]","(60.2,78.6]","(65,82]","(46,64]","(62.8,81.4]","(84.4,98]","(59.8,79.4]","(51,67]"
"(63,81]","(63.2,81.6]","(84.4,98]","(84.4,98]","(62.6,76.8]","(86,100]","(68,84]","(81,100]",0,"(79.6,99]","(70.8,84.4]","(70.8,84.4]","(60.2,78.6]","(82,99]","(82,100]","(62.8,81.4]","(70.8,84.4]","(79.4,99]","(67,83]"
"(81,99]","(81.6,100]","(84.4,98]","(84.4,98]","(76.8,91]","(72,86]","(68,84]","(62,81]",0,"(79.6,99]","(84.4,98]","(70.8,84.4]","(60.2,78.6]","(82,99]","(82,100]","(44.2,62.8]","(70.8,84.4]","(79.4,99]","(67,83]"
0,"(81.6,100]","(84.4,98]","(70.8,84.4]",0,0,"(68,84]","(81,100]","(42.4,61.6]",0,"(70.8,84.4]","[30,43.6]","(60.2,78.6]","(82,99]",0,0,0,0,"(83,99]"
"(81,99]","(81.6,100]","(84.4,98]","(84.4,98]","(76.8,91]","(86,100]",0,"(81,100]",0,"(79.6,99]","(84.4,98]","(70.8,84.4]","(78.6,97]","(82,99]","(82,100]","(81.4,100]","(84.4,98]","(79.4,99]","(83,99]"
"(63,81]","(63.2,81.6]","(70.8,84.4]","(84.4,98]","(76.8,91]","(86,100]",0,"(62,81]",0,"(60.2,79.6]","(70.8,84.4]","(70.8,84.4]","(78.6,97]","(82,99]","(82,100]","(62.8,81.4]","(84.4,98]","(59.8,79.4]","(83,99]"
0,"(81.6,100]","(70.8,84.4]","(70.8,84.4]",0,0,"(84,100]","(81,100]","(80.8,100]",0,"(84.4,98]","(70.8,84.4]","(78.6,97]",0,0,0,0,0,"(83,99]"
"(81,99]","(63.2,81.6]","(70.8,84.4]","(84.4,98]","(76.8,91]","(86,100]",0,"(62,81]",0,"(79.6,99]","(70.8,84.4]","(84.4,98]","(78.6,97]","(82,99]","(82,100]","(81.4,100]","(84.4,98]","(79.4,99]","(83,99]"
"(81,99]","(81.6,100]","(70.8,84.4]","(70.8,84.4]","(76.8,91]","(72,86]",0,0,0,"(60.2,79.6]","(70.8,84.4]","(84.4,98]","(78.6,97]","(82,99]","(82,100]","(81.4,100]","(84.4,98]","(79.4,99]",0
0,"(81.6,100]","(70.8,84.4]",0,0,0,0,0,0,0,0,0,0,"(82,99]",0,0,0,0,0
0,"(81.6,100]","(70.8,84.4]","(84.4,98]",0,"(72,86]","(84,100]","(62,81]","(61.6,80.8]",0,"(70.8,84.4]","(70.8,84.4]","(60.2,78.6]","(82,99]","(64,82]","(81.4,100]","(84.4,98]",0,"(83,99]"
0,0,"(70.8,84.4]","(70.8,84.4]","(76.8,91]","(86,100]","(84,100]","(62,81]",0,"(40.8,60.2]","(84.4,98]","(84.4,98]",0,"(65,82]","(82,100]","(81.4,100]","(84.4,98]","(59.8,79.4]","(67,83]"
"(63,81]","(81.6,100]","(84.4,98]","(84.4,98]","(76.8,91]","(86,100]","(84,100]","(81,100]",0,"(79.6,99]","(84.4,98]","(84.4,98]","(78.6,97]",0,"(82,100]","(81.4,100]","(84.4,98]","(79.4,99]","(83,99]"
"(81,99]","(63.2,81.6]","(70.8,84.4]","(70.8,84.4]","(76.8,91]","(86,100]",0,0,0,"(79.6,99]","(70.8,84.4]","(84.4,98]","(78.6,97]","(82,99]","(82,100]","(62.8,81.4]","(84.4,98]",0,"(83,99]"
0,0,0,0,0,"(72,86]","(84,100]",0,"(61.6,80.8]","(60.2,79.6]","(57.2,70.8]","(70.8,84.4]","(60.2,78.6]",0,"(64,82]","(62.8,81.4]","(84.4,98]","(59.8,79.4]",0
0,"(81.6,100]","(84.4,98]","(84.4,98]",0,0,"(84,100]","(81,100]","(80.8,100]",0,"(84.4,98]","(84.4,98]",0,0,0,0,0,0,"(83,99]"
0,"(81.6,100]","(84.4,98]","(84.4,98]",0,"(86,100]","(68,84]","(62,81]","(61.6,80.8]","(79.6,99]","(84.4,98]","(70.8,84.4]","(78.6,97]","(65,82]","(64,82]","(62.8,81.4]","(84.4,98]",0,"(83,99]"
0,0,"(84.4,98]",0,0,0,0,0,0,0,0,0,0,"(82,99]",0,0,0,0,0
"(63,81]",0,"(84.4,98]","(84.4,98]",0,"(86,100]","(84,100]","(62,81]","(80.8,100]",0,"(84.4,98]","(70.8,84.4]","(78.6,97]","(82,99]",0,"(81.4,100]","(84.4,98]",0,"(67,83]"
0,"(81.6,100]","(70.8,84.4]","(70.8,84.4]","(76.8,91]","(86,100]","(84,100]","(81,100]",0,"(60.2,79.6]","(84.4,98]","(84.4,98]","(78.6,97]",0,"(82,100]","(81.4,100]","(84.4,98]","(79.4,99]","(83,99]"
0,"(81.6,100]","(84.4,98]","(84.4,98]",0,0,"(84,100]","(81,100]","(80.8,100]",0,"(84.4,98]","(84.4,98]","(78.6,97]","(82,99]",0,0,0,0,"(83,99]"
0,"(81.6,100]","(84.4,98]","(84.4,98]",0,0,"(84,100]","(62,81]","(80.8,100]",0,"(84.4,98]","(57.2,70.8]","(60.2,78.6]",0,0,0,0,0,0
"(63,81]","(81.6,100]","(84.4,98]","(84.4,98]","(62.6,76.8]","(86,100]","(68,84]","(62,81]",0,"(79.6,99]","(84.4,98]","(70.8,84.4]","(60.2,78.6]","(82,99]","(82,100]","(81.4,100]","(70.8,84.4]","(79.4,99]","(83,99]"
0,"(81.6,100]","(70.8,84.4]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(63,81]","(44.8,63.2]","(70.8,84.4]","(70.8,84.4]","(76.8,91]","(86,100]",0,"(62,81]",0,"(60.2,79.6]","(70.8,84.4]","(84.4,98]",0,"(65,82]","(82,100]","(81.4,100]","(84.4,98]","(59.8,79.4]","(83,99]"
0,0,"(84.4,98]","(84.4,98]","(76.8,91]","(86,100]","(84,100]","(81,100]",0,"(79.6,99]","(84.4,98]","(84.4,98]","(78.6,97]",0,"(82,100]","(81.4,100]","(84.4,98]","(79.4,99]",0
0,"(81.6,100]","(84.4,98]","(84.4,98]",0,"(86,100]","(84,100]","(62,81]","(80.8,100]",0,"(70.8,84.4]","(84.4,98]","(78.6,97]","(82,99]","(64,82]","(62.8,81.4]","(84.4,98]","(79.4,99]","(83,99]"
"(63,81]","(81.6,100]","(70.8,84.4]","(84.4,98]","(76.8,91]","(72,86]","(68,84]","(62,81]",0,"(60.2,79.6]","(84.4,98]","(84.4,98]",0,"(82,99]","(82,100]","(62.8,81.4]","(70.8,84.4]","(79.4,99]","(83,99]"
0,"(81.6,100]","(70.8,84.4]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"(81.6,100]","(84.4,98]","(84.4,98]",0,"(86,100]",0,0,0,"(79.6,99]","(57.2,70.8]","(70.8,84.4]","(78.6,97]","(82,99]","(82,100]","(81.4,100]","(84.4,98]","(59.8,79.4]","(83,99]"
0,"(63.2,81.6]","(84.4,98]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
